source,target,weight,annee,mois,commentaire
CLERMONT FERRAND,PARIS BERCY,84.1,2015,10,
CLERMONT FERRAND,BÉZIERS,96.7,2015,10,
NANTES,LYON PART DIEU,85.7,2015,10,
PARIS NORD,AMIENS,82.2,2015,10,
PARIS ST LAZARE,LE HAVRE,88.0,2015,10,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,92.9,2015,10,
TOURS,CAEN,88.3,2015,10,
BOULOGNE,PARIS NORD,83.6,2015,11,
BOURGES,PARIS AUSTERLITZ,74.8,2015,11,
CAEN,PARIS ST LAZARE,87.1,2015,11,
CERBERE,PARIS AUSTERLITZ,79.6,2015,11,
CLERMONT FERRAND,NÎMES,,2015,11,
GRANVILLE,PARIS VAUGIRARD,88.8,2015,11,
HENDAYE,TOULOUSE MATABIAU,93.2,2015,11,
LE HAVRE,PARIS ST LAZARE,89.7,2015,11,
MAUBEUGE,PARIS NORD,83.6,2015,11,
NICE,BORDEAUX ST JEAN,76.8,2015,11,
NÎMES,CLERMONT FERRAND,,2015,11,
PARIS AUSTERLITZ,ORLÉANS,70.3,2015,11,
PARIS AUSTERLITZ,BOURGES,82.5,2015,11,
PARIS BERCY,CLERMONT FERRAND,89.4,2015,11,
PARIS EST,TROYES,93.3,2015,11,
PARIS NORD,MAUBEUGE,84.4,2015,11,
PARIS ST LAZARE,LE HAVRE,85.8,2015,11,
PARIS ST LAZARE,ROUEN,91.2,2015,11,
PARIS VAUGIRARD,GRANVILLE,89.9,2015,11,
BORDEAUX ST JEAN,NICE,91.5,2015,12,
CLERMONT FERRAND,PARIS BERCY,87.5,2015,12,
PARIS ST LAZARE,ROUEN,93.4,2015,12,
TOULOUSE MATABIAU,HENDAYE,99.0,2015,12,
TOURS,PARIS AUSTERLITZ,87.0,2015,12,
BELFORT,PARIS EST,96.4,2016,1,
BORDEAUX ST JEAN,LIMOGES,90.0,2016,1,
BORDEAUX ST JEAN,NANTES,66.1,2016,1,
CLERMONT FERRAND,PARIS BERCY,90.9,2016,1,
NANTES,BORDEAUX ST JEAN,62.9,2016,1,
TOULOUSE MATABIAU,HENDAYE,88.2,2016,1,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,88.3,2016,1,
CLERMONT FERRAND,PARIS BERCY,87.6,2016,2,
MAUBEUGE,PARIS NORD,91.4,2016,2,
NICE,BORDEAUX ST JEAN,75.6,2016,2,
PARIS AUSTERLITZ,ORLÉANS,84.3,2016,2,
PARIS NORD,MAUBEUGE,92.2,2016,2,
PARIS ST LAZARE,LE HAVRE,91.7,2016,2,
BELFORT,PARIS EST,94.4,2016,3,
CAEN,TOURS,98.4,2016,3,
MAUBEUGE,PARIS NORD,89.2,2016,3,
NANTES,LYON PART DIEU,100.0,2016,3,
NÎMES,CLERMONT FERRAND,100.0,2016,3,
PARIS AUSTERLITZ,ORLÉANS,82.4,2016,3,
BORDEAUX ST JEAN,LIMOGES,93.8,2016,4,
BOULOGNE,PARIS NORD,81.7,2016,4,
NANTES,LYON PART DIEU,95.2,2016,4,
NICE,BORDEAUX ST JEAN,80.1,2016,4,
PARIS AUSTERLITZ,CERBERE,95.7,2016,4,
PARIS BERCY,CLERMONT FERRAND,83.8,2016,4,
PARIS BERCY,NEVERS,88.5,2016,4,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,83.1,2016,4,
BÉZIERS,CLERMONT FERRAND,100.0,2016,5,
BOULOGNE,PARIS NORD,84.6,2016,5,
CERBERE,PARIS AUSTERLITZ,78.9,2016,5,
CLERMONT FERRAND,NÎMES,100.0,2016,5,
CLERMONT FERRAND,PARIS BERCY,77.9,2016,5,
GRANVILLE,PARIS VAUGIRARD,86.1,2016,5,
LIMOGES,BORDEAUX ST JEAN,87.0,2016,5,
NANTES,BORDEAUX ST JEAN,78.8,2016,5,
PARIS AUSTERLITZ,CERBERE,94.7,2016,5,
PARIS BERCY,NEVERS,79.5,2016,5,
PARIS NORD,MAUBEUGE,90.7,2016,5,
TOULOUSE MATABIAU,HENDAYE,64.8,2016,5,
AMIENS,PARIS NORD,91.9,2016,6,
CLERMONT FERRAND,PARIS BERCY,61.7,2016,6,
LYON PART DIEU,NANTES,91.3,2016,6,
MAUBEUGE,PARIS NORD,92.5,2016,6,
NEVERS,PARIS BERCY,60.0,2016,6,
ORLÉANS,PARIS AUSTERLITZ,77.6,2016,6,
PARIS AUSTERLITZ,TOURS,64.7,2016,6,
PARIS BERCY,NEVERS,48.6,2016,6,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,87.8,2016,6,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,76.7,2016,6,
BORDEAUX ST JEAN,NANTES,81.7,2016,7,
CERBERE,PARIS AUSTERLITZ,93.8,2016,7,
GRANVILLE,PARIS VAUGIRARD,88.5,2016,7,
NANTES,LYON PART DIEU,88.7,2016,7,
NICE,BORDEAUX ST JEAN,62.5,2016,7,
PARIS AUSTERLITZ,ORLÉANS,63.1,2016,7,
LE HAVRE,PARIS ST LAZARE,89.1,2014,11,
CLERMONT FERRAND,BÉZIERS,96.7,2014,11,
BORDEAUX ST JEAN,LIMOGES,95.0,2014,11,
LYON PART DIEU,NANTES,90.7,2014,11,
BOULOGNE,PARIS NORD,85.6,2014,11,
NANTES,LYON PART DIEU,94.7,2014,11,
TOURS,CAEN,88.7,2014,10,
NÎMES,CLERMONT FERRAND,100.0,2014,10,
PARIS VAUGIRARD,GRANVILLE,95.2,2014,1,
CERBERE,PARIS AUSTERLITZ,92.2,2014,1,
BOURGES,PARIS AUSTERLITZ,92.6,2014,1,
GRANVILLE,PARIS VAUGIRARD,93.3,2014,1,
CLERMONT FERRAND,BÉZIERS,96.8,2014,1,
ROUEN,PARIS ST LAZARE,93.2,2014,1,
BOULOGNE,PARIS NORD,88.5,2014,1,
TOURS,CAEN,98.4,2014,1,
AMIENS,PARIS NORD,86.8,2016,7,
BORDEAUX ST JEAN,NICE,70.7,2016,7,
BORDEAUX ST JEAN,LIMOGES,96.8,2016,7,
BOURGES,PARIS AUSTERLITZ,71.0,2016,7,
CLERMONT FERRAND,PARIS BERCY,84.7,2016,7,
NÎMES,CLERMONT FERRAND,58.6,2016,7,
PARIS AUSTERLITZ,CERBERE,81.0,2016,7,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,77.4,2016,7,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,93.4,2016,7,
BORDEAUX ST JEAN,NICE,70.1,2016,8,
BOURGES,PARIS AUSTERLITZ,70.2,2016,8,
CAEN,TOURS,81.5,2016,8,
HENDAYE,TOULOUSE MATABIAU,91.9,2016,8,
NANTES,BORDEAUX ST JEAN,74.7,2016,8,
ORLÉANS,PARIS AUSTERLITZ,72.0,2016,8,
PARIS ST LAZARE,CAEN,80.3,2016,8,
BELFORT,PARIS EST,91.4,2016,9,
LE HAVRE,PARIS ST LAZARE,94.4,2016,9,
MAUBEUGE,PARIS NORD,93.2,2016,9,
NANTES,BORDEAUX ST JEAN,74.4,2016,9,
NEVERS,PARIS BERCY,89.7,2016,9,
PARIS AUSTERLITZ,TOURS,72.6,2016,9,
PARIS BERCY,CLERMONT FERRAND,93.0,2016,9,
PARIS NORD,AMIENS,94.5,2016,9,
PARIS NORD,BOULOGNE,89.7,2016,9,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,66.3,2016,9,
PARIS VAUGIRARD,GRANVILLE,91.9,2016,9,
BÉZIERS,CLERMONT FERRAND,100.0,2016,10,
CAEN,TOURS,78.9,2016,10,
CERBERE,PARIS AUSTERLITZ,98.1,2016,10,
NEVERS,PARIS BERCY,88.5,2016,10,
NÎMES,CLERMONT FERRAND,61.3,2016,10,
ORLÉANS,PARIS AUSTERLITZ,75.6,2016,10,
PARIS BERCY,CLERMONT FERRAND,92.2,2016,10,
PARIS EST,BELFORT,95.3,2016,10,
PARIS EST,TROYES,84.4,2016,10,
PARIS ST LAZARE,CAEN,80.8,2016,10,
PARIS VAUGIRARD,GRANVILLE,92.0,2016,10,
BELFORT,PARIS EST,89.4,2016,11,
BORDEAUX ST JEAN,NICE,70.2,2016,11,
BOULOGNE,PARIS NORD,85.9,2016,11,
MAUBEUGE,PARIS NORD,92.9,2016,11,
NANTES,LYON PART DIEU,88.9,2016,11,
NEVERS,PARIS BERCY,88.9,2016,11,
NICE,BORDEAUX ST JEAN,61.5,2016,11,
PARIS AUSTERLITZ,ORLÉANS,69.5,2016,11,
PARIS AUSTERLITZ,BOURGES,86.3,2016,11,
PARIS BERCY,CLERMONT FERRAND,92.6,2016,11,
PARIS ST LAZARE,CHERBOURG,84.1,2016,11,
PARIS VAUGIRARD,GRANVILLE,87.5,2016,11,
TOURS,PARIS AUSTERLITZ,63.9,2016,11,
BOULOGNE,PARIS NORD,86.7,2016,12,
CAEN,PARIS ST LAZARE,90.7,2016,12,
LE HAVRE,PARIS ST LAZARE,94.6,2016,12,
LIMOGES,BORDEAUX ST JEAN,93.3,2016,12,
NANTES,BORDEAUX ST JEAN,74.7,2016,12,
PARIS AUSTERLITZ,TOURS,73.3,2016,12,
PARIS AUSTERLITZ,BOURGES,86.9,2016,12,
PARIS NORD,MAUBEUGE,86.9,2016,12,
PARIS ST LAZARE,CAEN,80.9,2016,12,
ROUEN,PARIS ST LAZARE,95.3,2016,12,
AMIENS,PARIS NORD,89.3,2017,1,
BÉZIERS,CLERMONT FERRAND,100.0,2017,1,
BORDEAUX ST JEAN,LIMOGES,96.8,2017,1,
BOURGES,PARIS AUSTERLITZ,71.0,2017,1,
CLERMONT FERRAND,PARIS BERCY,86.3,2017,1,
CLERMONT FERRAND,BÉZIERS,96.8,2017,1,
HENDAYE,TOULOUSE MATABIAU,91.7,2017,1,
LE HAVRE,PARIS ST LAZARE,94.6,2017,1,
ORLÉANS,PARIS AUSTERLITZ,78.0,2017,1,
PARIS AUSTERLITZ,ORLÉANS,72.6,2017,1,
PARIS AUSTERLITZ,TOURS,74.2,2017,1,
PARIS EST,TROYES,83.2,2017,1,
PARIS ST LAZARE,ROUEN,91.5,2017,1,
PARIS VAUGIRARD,GRANVILLE,92.1,2017,1,
ROUEN,PARIS ST LAZARE,95.2,2017,1,
TOURS,PARIS AUSTERLITZ,66.4,2017,1,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,88.5,2017,1,
BORDEAUX ST JEAN,NICE,64.8,2017,2,
BORDEAUX ST JEAN,LIMOGES,94.4,2017,2,
CERBERE,PARIS AUSTERLITZ,,2017,2,
CLERMONT FERRAND,NÎMES,88.9,2017,2,
CLERMONT FERRAND,PARIS BERCY,84.5,2017,2,
CLERMONT FERRAND,BÉZIERS,96.2,2017,2,
NICE,BORDEAUX ST JEAN,83.9,2015,3,
PARIS NORD,AMIENS,81.4,2015,3,
TROYES,PARIS EST,94.5,2015,3,
PARIS AUSTERLITZ,ORLÉANS,84.8,2015,2,
PARIS AUSTERLITZ,TOURS,81.4,2015,2,
PARIS AUSTERLITZ,BOURGES,93.8,2015,2,
BORDEAUX ST JEAN,NICE,81.5,2015,3,
PARIS ST LAZARE,CHERBOURG,81.4,2015,2,
PARIS NORD,BOULOGNE,81.8,2015,2,
PARIS EST,BELFORT,94.7,2015,2,
BELFORT,PARIS EST,94.2,2015,3,
TOURS,CAEN,91.1,2015,2,
TOULOUSE MATABIAU,HENDAYE,100.0,2015,2,
PARIS AUSTERLITZ,CERBERE,95.3,2015,8,
PARIS AUSTERLITZ,BOURGES,92.6,2015,8,
PARIS ST LAZARE,CHERBOURG,92.0,2015,8,
NANTES,BORDEAUX ST JEAN,66.2,2015,8,
CLERMONT FERRAND,BÉZIERS,96.8,2015,8,
ROUEN,PARIS ST LAZARE,94.7,2015,8,
PARIS NORD,AMIENS,91.7,2015,8,
TOURS,CAEN,95.2,2015,8,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,84.6,2015,1,
PARIS AUSTERLITZ,CERBERE,95.8,2015,2,
PARIS ST LAZARE,LE HAVRE,89.8,2015,1,
BORDEAUX ST JEAN,NICE,83.1,2015,2,
BOURGES,PARIS AUSTERLITZ,86.6,2015,2,
PARIS ST LAZARE,CAEN,88.4,2015,1,
NANTES,BORDEAUX ST JEAN,82.8,2015,2,
BORDEAUX ST JEAN,LIMOGES,92.3,2015,2,
AMIENS,PARIS NORD,70.9,2015,2,
TROYES,PARIS EST,95.4,2015,1,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,91.3,2015,6,
PARIS AUSTERLITZ,ORLÉANS,77.3,2015,6,
PARIS AUSTERLITZ,TOURS,77.9,2015,6,
PARIS ST LAZARE,CAEN,89.0,2015,6,
CLERMONT FERRAND,BÉZIERS,86.7,2015,7,
NICE,BORDEAUX ST JEAN,58.9,2015,7,
PARIS NORD,MAUBEUGE,92.1,2015,6,
TROYES,PARIS EST,93.2,2015,6,
CAEN,TOURS,94.0,2015,7,
CLERMONT FERRAND,NÎMES,,2015,7,
TOULOUSE MATABIAU,HENDAYE,92.4,2014,11,
PARIS AUSTERLITZ,BOURGES,90.2,2014,12,
PARIS AUSTERLITZ,TOURS,82.9,2014,11,
NANTES,BORDEAUX ST JEAN,76.8,2014,12,
NICE,BORDEAUX ST JEAN,78.5,2014,12,
MAUBEUGE,PARIS NORD,92.6,2014,12,
PARIS NORD,BOULOGNE,68.7,2014,12,
NANTES,LYON PART DIEU,86.7,2014,12,
PARIS BERCY,NEVERS,84.4,2014,11,
PARIS EST,BELFORT,87.6,2014,12,
PARIS AUSTERLITZ,BOURGES,93.5,2015,1,
PARIS AUSTERLITZ,CERBERE,90.6,2015,1,
PARIS ST LAZARE,CHERBOURG,82.1,2014,12,
PARIS VAUGIRARD,GRANVILLE,89.9,2014,12,
ORLÉANS,PARIS AUSTERLITZ,89.4,2015,1,
GRANVILLE,PARIS VAUGIRARD,93.3,2015,1,
CLERMONT FERRAND,BÉZIERS,96.8,2015,1,
BORDEAUX ST JEAN,LIMOGES,93.5,2015,1,
LYON PART DIEU,NANTES,91.7,2015,1,
BÉZIERS,CLERMONT FERRAND,100.0,2015,1,
PARIS AUSTERLITZ,ORLÉANS,83.0,2015,4,
TOULOUSE MATABIAU,HENDAYE,92.0,2015,4,
PARIS AUSTERLITZ,TOURS,84.2,2015,4,
ORLÉANS,PARIS AUSTERLITZ,88.3,2015,4,
PARIS ST LAZARE,LE HAVRE,90.7,2015,4,
TOURS,PARIS AUSTERLITZ,92.4,2015,4,
LIMOGES,BORDEAUX ST JEAN,90.0,2015,4,
NÎMES,CLERMONT FERRAND,90.6,2015,4,
AMIENS,PARIS NORD,81.2,2015,5,
PARIS AUSTERLITZ,CERBERE,,2015,4,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,87.5,2015,7,
PARIS AUSTERLITZ,ORLÉANS,77.2,2015,7,
PARIS AUSTERLITZ,BOURGES,88.0,2015,7,
PARIS AUSTERLITZ,TOURS,69.5,2015,7,
BOURGES,PARIS AUSTERLITZ,85.5,2015,8,
CAEN,PARIS ST LAZARE,87.6,2015,8,
PARIS NORD,AMIENS,69.2,2015,7,
PARIS BERCY,NEVERS,85.9,2015,7,
CAEN,TOURS,91.0,2015,8,
NÎMES,CLERMONT FERRAND,100.0,2015,7,
PARIS AUSTERLITZ,CERBERE,81.8,2015,6,
ORLÉANS,PARIS AUSTERLITZ,85.0,2015,6,
LE HAVRE,PARIS ST LAZARE,94.5,2015,5,
CHERBOURG,PARIS ST LAZARE,93.2,2015,6,
CLERMONT FERRAND,BÉZIERS,96.7,2015,6,
BORDEAUX ST JEAN,LIMOGES,96.7,2015,6,
ROUEN,PARIS ST LAZARE,95.4,2015,5,
LIMOGES,BORDEAUX ST JEAN,96.7,2015,6,
NEVERS,PARIS BERCY,85.4,2015,5,
NANTES,LYON PART DIEU,100.0,2015,5,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,82.2,2014,8,
PARIS AUSTERLITZ,CERBERE,92.6,2014,8,
PARIS AUSTERLITZ,TOURS,81.3,2014,8,
BORDEAUX ST JEAN,NANTES,81.9,2014,8,
PARIS VAUGIRARD,GRANVILLE,88.5,2014,8,
LE HAVRE,PARIS ST LAZARE,90.1,2014,8,
CLERMONT FERRAND,NÎMES,90.3,2014,8,
ROUEN,PARIS ST LAZARE,90.6,2014,8,
PARIS NORD,AMIENS,84.4,2014,8,
ORLÉANS,PARIS AUSTERLITZ,76.9,2016,9,
PARIS AUSTERLITZ,BOURGES,86.3,2016,9,
PARIS ST LAZARE,CAEN,80.0,2016,9,
PARIS ST LAZARE,CHERBOURG,84.5,2016,9,
PARIS ST LAZARE,ROUEN,91.0,2016,9,
TOULOUSE MATABIAU,HENDAYE,78.1,2016,9,
TROYES,PARIS EST,86.3,2016,9,
BORDEAUX ST JEAN,NICE,70.5,2016,10,
BORDEAUX ST JEAN,NANTES,80.0,2016,10,
CAEN,PARIS ST LAZARE,90.6,2016,10,
CHERBOURG,PARIS ST LAZARE,93.9,2016,10,
LIMOGES,BORDEAUX ST JEAN,92.6,2016,10,
PARIS BERCY,NEVERS,85.6,2016,10,
PARIS NORD,AMIENS,94.5,2016,10,
TOURS,PARIS AUSTERLITZ,61.6,2016,10,
BORDEAUX ST JEAN,NANTES,80.9,2016,11,
BOURGES,PARIS AUSTERLITZ,69.2,2016,11,
HENDAYE,TOULOUSE MATABIAU,,2016,11,
NÎMES,CLERMONT FERRAND,60.0,2016,11,
ORLÉANS,PARIS AUSTERLITZ,75.7,2016,11,
PARIS AUSTERLITZ,CERBERE,92.5,2016,11,
PARIS BERCY,NEVERS,85.8,2016,11,
PARIS EST,TROYES,81.7,2016,11,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,63.6,2016,11,
ROUEN,PARIS ST LAZARE,94.9,2016,11,
TOURS,CAEN,81.7,2016,11,
BORDEAUX ST JEAN,LIMOGES,95.8,2016,12,
CAEN,TOURS,81.8,2016,12,
CLERMONT FERRAND,PARIS BERCY,85.7,2016,12,
CLERMONT FERRAND,BÉZIERS,96.7,2016,12,
HENDAYE,TOULOUSE MATABIAU,84.4,2016,12,
NANTES,LYON PART DIEU,89.1,2016,12,
PARIS EST,BELFORT,95.3,2016,12,
PARIS ST LAZARE,CHERBOURG,84.8,2016,12,
PARIS ST LAZARE,ROUEN,91.3,2016,12,
PARIS VAUGIRARD,GRANVILLE,91.6,2016,12,
TOULOUSE MATABIAU,HENDAYE,62.1,2016,12,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,88.5,2016,12,
TROYES,PARIS EST,87.0,2016,12,
GRANVILLE,PARIS VAUGIRARD,88.4,2017,1,
NEVERS,PARIS BERCY,89.7,2017,1,
PARIS EST,BELFORT,95.5,2017,1,
PARIS ST LAZARE,CAEN,80.5,2017,1,
PARIS ST LAZARE,CHERBOURG,84.8,2017,1,
PARIS ST LAZARE,LE HAVRE,90.6,2017,1,
TOULOUSE MATABIAU,HENDAYE,79.7,2017,1,
BORDEAUX ST JEAN,NANTES,79.0,2017,2,
HENDAYE,TOULOUSE MATABIAU,86.7,2017,2,
NÎMES,CLERMONT FERRAND,55.6,2017,2,
ORLÉANS,PARIS AUSTERLITZ,75.1,2017,2,
PARIS BERCY,NEVERS,85.9,2017,2,
PARIS NORD,MAUBEUGE,85.7,2017,2,
TOURS,CAEN,80.4,2017,2,
BELFORT,PARIS EST,91.6,2017,3,
CLERMONT FERRAND,NÎMES,90.0,2017,3,
GRANVILLE,PARIS VAUGIRARD,88.2,2017,3,
LE HAVRE,PARIS ST LAZARE,94.8,2017,3,
LYON PART DIEU,NANTES,86.2,2017,3,
NEVERS,PARIS BERCY,88.8,2017,3,
PARIS NORD,MAUBEUGE,87.2,2017,3,
PARIS ST LAZARE,CAEN,81.2,2017,3,
BOULOGNE,PARIS NORD,85.4,2017,4,
CAEN,PARIS ST LAZARE,90.4,2017,4,
CLERMONT FERRAND,NÎMES,90.0,2017,4,
GRANVILLE,PARIS VAUGIRARD,88.1,2017,4,
LIMOGES,BORDEAUX ST JEAN,93.3,2017,4,
LYON PART DIEU,NANTES,85.2,2017,4,
MAUBEUGE,PARIS NORD,92.2,2017,4,
NANTES,BORDEAUX ST JEAN,74.2,2017,4,
NEVERS,PARIS BERCY,89.0,2017,4,
PARIS AUSTERLITZ,BOURGES,86.7,2017,4,
PARIS NORD,AMIENS,93.8,2017,4,
TOULOUSE MATABIAU,HENDAYE,79.0,2017,4,
BORDEAUX ST JEAN,NANTES,80.4,2017,5,
BOURGES,PARIS AUSTERLITZ,81.6,2017,5,
CLERMONT FERRAND,BÉZIERS,96.7,2017,5,
MAUBEUGE,PARIS NORD,94.1,2017,5,
NANTES,BORDEAUX ST JEAN,74.7,2017,5,
PARIS AUSTERLITZ,CERBERE,,2017,5,
PARIS BERCY,CLERMONT FERRAND,79.4,2017,5,
PARIS NORD,BOULOGNE,92.2,2017,5,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,85.7,2017,5,
BORDEAUX ST JEAN,LIMOGES,86.2,2017,6,
BOULOGNE,PARIS NORD,88.5,2017,6,
CAEN,TOURS,89.2,2017,6,
CLERMONT FERRAND,BÉZIERS,96.7,2017,6,
NANTES,BORDEAUX ST JEAN,65.2,2017,6,
NÎMES,CLERMONT FERRAND,0.0,2017,6,
PARIS AUSTERLITZ,TOURS,71.8,2017,6,
PARIS BERCY,NEVERS,81.5,2017,6,
PARIS EST,TROYES,75.8,2017,6,
PARIS NORD,AMIENS,74.1,2017,6,
PARIS VAUGIRARD,GRANVILLE,92.4,2017,6,
ROUEN,PARIS ST LAZARE,90.7,2017,6,
TOURS,PARIS AUSTERLITZ,77.7,2017,6,
TROYES,PARIS EST,91.8,2017,6,
CLERMONT FERRAND,BÉZIERS,93.5,2017,7,
NANTES,LYON PART DIEU,89.4,2017,7,
NICE,BORDEAUX ST JEAN,73.1,2017,7,
PARIS BERCY,NEVERS,79.9,2017,7,
PARIS AUSTERLITZ,TOURS,69.8,2014,6,
ORLÉANS,PARIS AUSTERLITZ,82.3,2014,6,
CLERMONT FERRAND,PARIS BERCY,84.2,2014,6,
CHERBOURG,PARIS ST LAZARE,85.5,2014,6,
PARIS NORD,AMIENS,79.7,2014,7,
BOULOGNE,PARIS NORD,86.7,2014,6,
NANTES,LYON PART DIEU,76.9,2014,6,
TROYES,PARIS EST,88.0,2014,6,
CAEN,TOURS,83.7,2014,6,
HENDAYE,TOULOUSE MATABIAU,94.2,2014,11,
NANTES,BORDEAUX ST JEAN,80.9,2014,11,
NICE,BORDEAUX ST JEAN,78.3,2014,11,
MAUBEUGE,PARIS NORD,92.8,2014,11,
LIMOGES,BORDEAUX ST JEAN,83.3,2014,11,
NÎMES,CLERMONT FERRAND,96.7,2014,11,
AMIENS,PARIS NORD,76.6,2014,11,
CLERMONT FERRAND,NÎMES,100.0,2014,11,
BOURGES,PARIS AUSTERLITZ,89.2,2015,9,
CAEN,TOURS,92.2,2015,9,
CLERMONT FERRAND,NÎMES,92.3,2015,9,
LYON PART DIEU,NANTES,79.0,2015,9,
ORLÉANS,PARIS AUSTERLITZ,85.5,2015,9,
PARIS AUSTERLITZ,ORLÉANS,88.9,2015,9,
PARIS ST LAZARE,ROUEN,93.4,2015,9,
TOURS,CAEN,90.0,2015,9,
LIMOGES,BORDEAUX ST JEAN,87.1,2015,10,
NEVERS,PARIS BERCY,85.1,2015,10,
PARIS EST,TROYES,94.6,2015,10,
PARIS NORD,MAUBEUGE,88.7,2015,10,
